time,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
0,586.7250765915,587.35694145809,586.25341706502,588.65233374803,583.16733824286,595.83272215995,566.52218225946,634.32908230304,477.39371055332,840.60295493477,0
50,586.25870239258,586.25870294248,586.25887273375,586.26031850213,586.27551868516,586.42771431097,586.7023471869,586.38752229712,581.22814000801,528.8698507644,0
100,586.95229706066,586.95240707352,586.95334431414,586.95949050653,586.9878333596,586.93320743669,586.37319746633,582.53684180978,555.49093478884,398.92283600355,0
150,586.91206029917,586.9124201429,586.91449940911,586.92009286914,586.89531372133,586.5862109384,584.43200723914,571.98071504568,513.05993915511,329.95532475958,0
200,586.85344025432,586.85388167632,586.85414751337,586.83626401581,586.66624352627,585.59172742751,579.93047554681,555.28315722112,473.9902272539,286.85606614684,0
250,586.98012017822,586.97922895945,586.96745479642,586.87711136674,586.34545416545,583.70661475881,572.81655126426,536.19286194515,440.88366853835,256.94408153024,0
300,586.97822343984,586.97198553612,586.9251470801,586.66709245354,585.44916887343,580.52160475416,563.73036256914,516.88649740121,413.1098796816,234.69936009199,0
350,586.97071831503,586.95072107383,586.826482472,586.25803253155,583.9933461128,576.19902243427,553.45352277692,498.35344778975,389.63417583954,217.34590281712,0
400,586.95052598302,586.90227811553,586.63685676872,585.5838243739,581.93238766994,570.93324413636,542.58247748957,480.98149621501,369.55823492516,203.32905379483,0
450,586.9064083501,586.80886631199,586.32048667611,584.598398252,579.28439771529,564.94976875346,531.52527688121,464.87145956235,352.18389259635,191.70501925328,0
500,586.82302370049,586.64963827972,585.84571622451,583.27982273343,576.10647239612,558.45702902473,520.54465328609,449.99488898368,336.98107896832,181.86454712485,0
550,586.68189069569,586.4027516066,585.18834449014,581.62719962782,572.47376524642,551.62937915569,509.80234656655,436.26960774338,323.54668805079,173.39492556756,0
600,586.46291452982,586.04730293071,584.33262863667,579.65497306158,568.46558762507,544.60509746581,499.3929415399,423.59542306754,311.57106723888,166.00553574427,0
650,586.14603283777,585.56476004824,583.2706990412,577.38726260251,564.157474333,537.49035654639,489.36733015536,411.87067098896,300.81330090027,159.48512150546,0
700,585.66534939608,584.89253084794,581.95393244452,574.80612351192,559.57140354624,530.33151863748,479.73632951497,400.998303571,291.0833436429,153.67597420633,0
750,585.17918879417,584.19335771329,580.5604489263,572.11712278991,554.93885495814,523.31236418327,470.54628291195,390.8924820981,282.22941834376,148.457662058,0
800,584.43477769133,583.2193935969,578.85767992786,569.11059184201,550.06689579879,516.29981460357,461.740242894,381.47786515315,274.12941226788,143.73648402867,0
850,583.56744534739,582.11091907614,577.00010195943,565.96028799116,545.14778821111,509.43321236204,453.33157190706,372.68058857203,266.68338652001,139.43837163392,0
900,582.53800539401,580.83340971095,574.96594000181,562.66059756439,540.18003523568,502.70720722593,445.29984551815,364.44147123939,259.80815666329,135.50378745185,0
950,581.34287554122,579.38749052362,572.76684892372,559.23500412275,535.19092246172,496.13523858933,437.62637818967,356.70685560152,253.43490072469,131.88419942733,0
1000,579.98113552798,577.77588735307,570.41464121581,555.70431915988,530.2022154838,489.72524993966,430.29180213148,349.42938680039,247.50574090181,128.53970056252,0
