time,-p1,-p2,-p3,-p4,-p5,-p6,-p7,-p8,-p9,-p99,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
0,586.97966646073,586.97979949904,586.97956715344,586.98007224218,586.97891738361,586.9815840635,586.97541500222,586.98969137969,586.95665099376,587.03311859322,586.85614405694,587.26701366003,586.30999241598,588.54178400212,583.33606952445,595.4790263547,567.15390655115,633.22624039561,479.10317169923,838.61705607286,0
10,586.97908625412,586.9783863736,586.97474703156,586.96016180176,586.90254378446,586.67513551608,585.77764789017,582.23564282105,568.25684875157,513.08846344191,295.36220333246,289.47222640327,279.09589623165,264.07669365386,244.18823802193,219.13036585589,188.52578832876,151.91164021109,108.73894174365,58.349293681239,0
20,586.97319793384,586.96704529841,586.93730521138,586.83026811438,586.45741611867,585.18400016887,580.94073333941,567.28220425484,525.56425233782,409.0160495055,138.85982145301,133.97493681398,126.759431059,117.26146621947,105.56502095626,91.794583188826,76.121564392294,58.772600763515,40.039952505517,20.29426363976,0
30,586.94571770357,586.91834179645,586.79475311235,586.39338333163,585.15409200872,581.46495911173,570.97063722772,542.90656296698,474.22285694129,327.27466540978,71.697495004154,68.090005603793,63.496386435351,57.956022123297,51.528325855766,44.292354031737,36.346100781394,27.805364469679,18.802043238612,9.481676232092,0
40,586.85882200351,586.77592744241,586.42432246688,585.38653890404,582.52212207758,575.00300064991,556.42209713766,513.97873199516,426.72287931677,271.24531224849,42.855987012947,40.054993047522,36.834368541305,33.214692909322,29.224741073319,24.901022665781,20.287142672714,15.43298485509,10.393723182192,5.228672654924,0
50,586.64776954949,586.45403844378,585.6767141217,583.57273138447,578.32510600419,566.00171198198,539.0030825804,484.74379419239,386.93982615619,233.23614997131,29.709138715738,27.399057088821,24.899459147308,22.221152475727,19.378241349251,16.387906966647,13.270118011842,10.047276816559,6.743808085467,3.3856988531735,0
60,586.22477648167,585.84928870279,584.41387649461,580.81519046655,572.60713236656,555.09944607859,520.40932089333,457.44923772125,354.62559617021,206.62199113683,23.161895954275,21.166318181384,19.077353797521,16.901160755553,14.645266039502,12.318467178252,9.9307067407008,7.4929222677015,5.0168746914849,2.5149588295686,0
70,585.49144787497,584.8588431247,582.53858251313,577.09544773831,565.60551492043,543.02276907441,501.83603995948,432.89222997011,328.40112486155,187.15857739241,19.531721768546,17.751420279764,15.919919365095,14.041081968886,12.119368253678,10.15978966592,8.1678522411851,6.1494901787237,4.1109909369914,2.0589132966052,0
80,584.35436804618,583.39682115827,580.00512865207,572.48742043053,557.63498427226,530.38932319824,483.97370926418,411.12735345056,306.87565045471,172.3034099362,17.279775001886,15.656267966449,14.00132902814,12.317608440967,10.608034365475,8.8757899123361,7.1242857514534,5.3571287252207,3.5780869903245,1.7910522873919,0
90,582.73808678619,581.40404165487,576.81421061735,567.11693462725,549.00452032959,517.64980770557,467.15412582424,391.90693373239,288.93226524916,160.53672612223,15.734370436276,14.23112516906,12.706488833829,11.162417953335,9.6010091202485,8.0244865301798,6.4351876084118,4.83554692526,3.2280786291416,1.6153576562006,0
100,580.5924215024,578.85057503217,573.00029148626,561.1268872952,539.97611477096,505.10114201856,451.4916279212,374.89780571718,273.73653216668,150.92807015511,14.585665810125,13.178484971338,11.755498444559,10.318232876942,8.868292214822,7.4073503142955,5.9371426878514,4.4594574787236,2.9761257686835,1.4890113372013,0
110,577.89397814166,575.73310663196,568.61822861478,554.65476086595,530.7530219394,492.9221447899,436.9815990055,359.77301580701,260.67774790687,142.88735561757,13.680824632875,12.352808283574,11.012391075131,9.6608132896551,8.2993619896113,6.9293662627418,5.5521920492335,4.1692365973013,2.7819225993455,1.3916920660406,0
120,574.64350530714,572.06963450511,563.73250031468,547.82134539796,521.48343268393,481.2090822594,423.56046650581,346.24383408374,249.30823018089,136.0255107169,12.938496302058,11.677297838479,10.405952181704,9.125496979443,7.8370006600126,6.5415591504775,5.240292377058,3.9343405728926,2.6248604209212,1.3130210619667,0
130,570.86106527632,567.89347030014,558.40980814461,540.72706642351,512.27009586912,470.00382415851,411.13957015051,334.0661541133,239.2959096375,130.07600454235,12.311808175817,11.108069802668,9.8957797983046,8.6758254160311,7.4491156042589,6.2165786120027,4.9791594714392,3.7378173722636,2.4935229438368,1.2472554622093,0
140,566.58061458979,563.24771275824,552.71458892449,533.45256166279,503.18087221687,459.31399664167,399.62325087731,323.03718344192,230.39047040725,124.84970284358,11.771641153702,10.618058032453,9.4571127796273,8.2895768471665,7.1162378092879,5.9378975397865,4.7553703143155,3.5694808469396,2.381062270899,1.1909540740628,0
150,561.84498300256,558.18071449455,546.70662353424,526.06117850876,494.25806913787,449.1266479141,388.91798141255,312.98929283645,222.39990918244,120.20812771339,11.298674364293,10.189408059142,9.0737011695587,7.9522334320181,6.8256970455033,5.6947952390553,4.5602407902536,3.4227545008801,2.2830636363525,1.1419003358142,0
