time,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
0,0,0,0,0,0,0,0,0,0,0,0
50,6.4134574820196,6.4134571526584,6.413454725412,6.413439594287,6.4133456429561,6.4127623456384,6.4091409594542,6.3866576364747,6.2470701949585,5.380443225685,0
100,25.373529521161,25.37352533726,25.373496525775,25.37333209466,25.372406445949,25.367251691937,25.338924828931,25.185882478777,24.377427308901,20.237925730292,0
150,56.051560439449,56.051533172135,56.051357158745,56.050434642316,56.045709600147,56.022004154594,55.906051713683,55.356836199292,52.862807081902,42.17105889983,0
200,97.106736068439,97.106614095401,97.105873276124,97.1022929825,97.085527093271,97.009273066,96.674483838127,95.267846468655,89.680069151829,69.051894178821,0
250,146.74463770829,146.74421528273,146.7417914473,146.73093977413,146.68422225881,146.49023438325,145.71861582532,142.80617895005,132.50430047055,98.910085664283,0
300,202.79557844689,202.79436781676,202.78777798169,202.76031328761,202.65098517106,202.23352950299,200.7152453014,195.50533031718,178.83877198041,129.86455224313,0
350,262.80928457292,262.80628937842,262.79075889397,262.73020735458,262.50606442359,261.71357831096,259.05558250019,250.6759277621,226.12012893269,160.12301628048,0
400,324.16177648896,324.15518970749,324.12252705509,324.00282261565,323.58853042284,322.22349773219,317.96916272211,305.5359303729,271.8178441354,188.01446918842,0
450,384.16978116065,384.15662929703,384.0940244073,383.87737197145,383.17276673379,380.99675198473,374.65289181605,357.33804637183,313.53189841772,212.03500870194,0
500,440.20768536839,440.18345624369,440.07235721082,439.70776212978,438.58837986813,435.33152564093,426.39939871751,403.49171466026,349.08663592405,230.89643628562,0
550,489.82193864696,489.78023925712,489.5954666182,489.018184805,487.33805473692,482.71198755856,470.71939216172,441.67616802526,376.61693952387,243.57120765188,0
600,530.8379249311,530.77021710755,530.47945430322,529.61150622978,527.20800677471,520.92096995683,505.45309706907,469.94069802051,394.64267188214,249.3295022054,0
650,561.45465407126,561.35010985146,560.91387100651,559.66565184166,556.36606415387,548.13910061247,528.86628501965,486.78831934312,402.12775771392,247.76551583199,0
700,580.3231519554,580.16865961597,579.5407897733,577.81370991544,573.44300397534,563.02608735342,539.72700471229,491.23948289142,398.52099766986,238.81107351645,0
750,586.60513624023,586.38547414049,585.51418950947,583.20420050858,577.59353853157,564.78066405203,537.35988205106,482.8732075048,383.77656987516,222.73550064931,0
800,580.00942200558,579.7076027792,578.53703435244,575.53883612912,568.53426527184,553.17664603709,521.67577503532,461.84390537784,358.35312383933,200.13145949543,0
850,560.80447003644,560.40224381908,558.87440994319,555.0860956281,546.55691808433,528.57358322072,493.17559774915,428.87319475261,323.19135557732,171.88717154879,0
900,529.8065296676,529.28502301435,527.34212682814,522.66999996493,512.51634747435,491.90160079559,452.92822221035,385.21706389697,279.6709300606,139.14610459709,0
950,488.34389189,487.68434944367,485.27127620524,479.63456975464,467.79376692197,444.62113613345,402.52347564261,332.60981627258,229.54854717434,103.25579188817,0
1000,438.19881080173,437.38339992431,434.45027719048,427.78551297829,414.23688605414,388.65936900032,344.00232250489,273.18723637734,174.87979184413,65.707952771614,0
