time,-p1,-p10,-p11,-p12,-p13,-p14,-p15,-p16,-p17,-p18,-p19,-p2,-p20,-p3,-p4,-p5,-p6,-p7,-p8,-p9,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
0,862.1144965048,862.77351594884,861.90195069403,863.2671574775,860.96800503582,864.94262180292,858.01065418806,870.13565885124,848.90708161599,886.08583542084,820.96607770066,782.51195230177,802.24471556279,792.94301247689,795.72156865504,798.29880785476,789.28300087855,808.52517578444,770.97244127841,842.61272031386,706.7867529643,639.97560610611,669.12605231549,659.00406278604,656.5673209018,673.12029932161,631.87083011852,724.18243021409,521.8054084433,963.60223693869,0
10,862.41942344145,862.41941694521,862.41942478551,862.41942006654,862.41935181655,862.42024399827,862.41079475447,862.50789457209,861.51510664789,871.65707779332,768.06548501545,764.07794032881,757.00264085886,746.14921522533,730.45685411096,708.39252578494,677.80064270975,635.69194410903,577.9532430221,498.94172179483,390.94112303761,376.35185478351,357.44409218849,333.93205755017,305.45822449931,271.59007418376,231.81405316599,185.52420034727,132.02185164259,70.485097536137,0
20,862.41942068976,862.41941890865,862.41943335504,862.41930608909,862.4204006951,862.41131693958,862.482684941,861.97244250559,864.95022238997,857.35085784066,701.93882886129,695.77334546845,683.0027261754,663.08580007208,635.16051389132,598.06560149187,550.38023012863,490.50045525162,416.78098570801,327.78527098496,222.70848285884,210.12378021225,195.02890713334,177.48270474778,157.57694449112,135.44316182478,111.26124183971,85.269987201132,57.779947754374,29.188846796952,0
30,862.41941766839,862.41943138191,862.41933812368,862.4200140655,862.41545421452,862.44280352563,862.31164907278,862.62964447165,864.79126791102,838.78303000299,620.36249030063,612.49671229631,596.64080010648,572.50528531459,539.6970714672,497.76477236613,446.26719122078,384.86734121783,313.45309341587,232.28143763,142.13458903688,132.1010629653,120.89092103399,108.56296381351,95.196134577142,80.889302053292,65.760736155812,49.94713759244,33.602045212326,16.893400975329,0
40,862.41943263167,862.41937957172,862.41965968177,862.41817174634,862.42445285382,862.41083183185,862.33937201112,863.20590747047,862.22884405165,812.56350290842,537.65852532061,529.05677853757,512.47957060103,487.86283155206,455.16823823839,414.41687336905,365.73387179809,309.40167246012,245.91786881318,176.05158908194,100.89008050625,92.83872735116,84.194997261667,74.99767086082,65.294030898859,55.139382167829,44.596391658298,33.734247356094,22.627638219254,11.35556475393,0
50,862.41939226398,862.41948970781,862.41918030421,862.41973710458,862.42315032329,862.38591290371,862.49072891556,863.40376851532,856.62967312162,780.11237051964,461.57530058293,452.89022993872,436.93998968781,413.78725194887,383.57589838924,346.5480774625,303.06481542228,253.62788551059,198.89995781342,139.71948060664,77.10642282811,70.529122593403,63.614972338399,56.390110237124,48.884335006002,41.130841966555,33.165889456159,25.028400546627,16.759506788525,8.4020425116898,0
60,862.41944299603,862.41940822314,862.41921780154,862.4210328862,862.4150305284,862.39321179558,862.68614155915,862.8752631665,847.67594935611,744.0630920376,394.93509294143,386.51653313187,371.77386653537,350.82368822159,323.87800837573,291.25053131246,253.36319075684,210.75161694525,164.06799889221,114.07973129679,61.662345558511,56.211538654556,50.544410050029,44.67981127088,38.638301518983,32.44200822691,26.114460075599,19.680394988726,13.165546214253,6.5964101452766,0
70,862.41944425635,862.41933754867,862.4196578214,862.42027315192,862.40797591235,862.43748372515,862.81842484984,861.27505149459,835.6022115501,706.74994469896,337.98709505904,329.99279221184,316.61592127361,297.9873432969,274.32919228355,245.95572543752,213.27323266241,176.77838724727,137.05437644344,94.764189855013,50.640575293074,46.077082167989,41.360396829862,36.504890871991,31.525820936429,26.439248646841,21.261949041023,16.011308640095,10.705214512034,5.3619358814359,0
80,862.41939556481,862.41939125242,862.41994168923,862.4178373989,862.40894238555,862.5072214533,862.7478943377,858.37589783563,820.96960633188,669.83035902287,289.89855711313,282.38174845205,270.33232888839,253.87709772926,233.2234806028,208.65807363474,180.54394293808,149.31643808487,115.47728629422,79.586782135484,42.253976249176,38.404787368066,34.439589533606,30.369747693992,26.207142899622,21.96412130405,17.653438041277,13.288196513926,8.8817837137881,4.4478022721131,0
90,862.41936955666,862.41951729909,862.41969312386,862.41536761073,862.42210733382,862.57202724337,862.32965484689,854.09827882936,804.44030765388,634.34138064702,249.50409540078,242.46571261481,231.62773203793,217.10570828736,199.08393042185,177.81319367254,153.60736138289,126.83865043632,97.93159373847,67.355670981168,35.616652915424,32.350602593179,28.992993948908,25.55301655412,22.040196559148,18.46436109894,14.835600223361,11.1642266244,7.4607334686366,3.7357506745363,0
